,precision,recall,f1-score,support
0,0.0,0.0,0.0,248.0
1,0.876,1.0,0.9339019189765458,1752.0
accuracy,0.876,0.876,0.876,0.876
macro avg,0.438,0.5,0.4669509594882729,2000.0
weighted avg,0.767376,0.876,0.8180980810234542,2000.0
