Model,Accuracy,Minority Precision,Minority Recall,Minority F1-Score,ROC-AUC,PR-AUC,False Positive Rate,False Negative Rate,Training Time (seconds)
Logistic Regression,0.723,0.2208029197080292,0.4879032258064516,0.30402010050251255,0.6738934305494182,0.08918032901388129,0.2437214611872146,0.5120967741935484,0.40591931343078613
Decision Tree,0.818,0.29285714285714287,0.33064516129032256,0.3106060606060606,0.6088157313300928,0.10560052513128282,0.11301369863013698,0.6693548387096774,0.17175745964050293
Random Forest,0.8935,0.6966292134831461,0.25,0.36795252225519287,0.6979212697009869,0.08522874971515004,0.015410958904109588,0.75,1.6520893573760986
XGBoost,0.9015,0.9322033898305084,0.2217741935483871,0.3583061889250814,0.692538021063485,0.08633811167488684,0.00228310502283105,0.7782258064516129,1.3274743556976318
