Threshold,Precision,Recall,F1-Score,False Positive Rate,False Negative Rate
0.1,0.123875,1.0,0.22044266488710934,1.0,0.0
0.15000000000000002,0.12403003754693366,1.0,0.22068811936309987,0.9985732629476387,0.0
0.20000000000000004,0.1257477408680158,0.9969727547931383,0.22332730560578662,0.9800256812669424,0.0030272452068617556
0.25000000000000006,0.12946666666666667,0.9798183652875883,0.2287127546814274,0.93151662148666,0.020181634712411706
0.30000000000000004,0.13542274052478134,0.9374369323915237,0.23665775060501848,0.8461977457554573,0.06256306760847628
0.3500000000000001,0.14847555475374347,0.8304742684157417,0.2519130700948883,0.6734198887145099,0.16952573158425832
0.40000000000000013,0.17968291250733998,0.6175580221997982,0.2783716170115988,0.3986303324297332,0.38244197780020184
0.45000000000000007,0.30326704545454547,0.4308779011099899,0.35598165902459356,0.13996290483663862,0.5691220988900101
0.5000000000000001,0.41766109785202865,0.35317860746720486,0.3827227993439038,0.06962476815522899,0.6468213925327951
0.5500000000000002,0.5057283142389526,0.31180625630676084,0.3857677902621723,0.043087458981309744,0.6881937436932392
0.6000000000000002,0.5969162995594713,0.2734611503531786,0.3750865051903114,0.02610928805821087,0.7265388496468214
0.6500000000000001,0.7177914110429447,0.23612512613521694,0.3553530751708428,0.013125980881723499,0.763874873864783
0.7000000000000002,0.8629032258064516,0.21594349142280525,0.3454398708635997,0.0048509059780282495,0.7840565085771948
0.7500000000000002,0.96,0.19374369323915236,0.3224181360201511,0.0011413896418889999,0.8062563067608476
0.8000000000000002,0.9819277108433735,0.16448032290615539,0.2817631806395851,0.00042802111570837496,0.8355196770938446
0.8500000000000002,1.0,0.09788092835519677,0.17830882352941177,0.0,0.9021190716448032
0.9000000000000002,1.0,0.020181634712411706,0.03956478733926805,0.0,0.9798183652875883
