,precision,recall,f1-score,support
0,0.39819004524886875,0.3548387096774194,0.3752665245202559,248.0
1,0.910061832490163,0.9240867579908676,0.9170206740300199,1752.0
accuracy,0.8535,0.8535,0.8535,0.8535
macro avg,0.6541259388695159,0.6394627338341434,0.6461435992751379,2000.0
weighted avg,0.8465897308722427,0.8535,0.8498431594908091,2000.0
