,precision,recall,f1-score,support
0,0.6966292134831461,0.25,0.36795252225519287,248.0
1,0.902668759811617,0.9845890410958904,0.9418509418509419,1752.0
accuracy,0.8935,0.8935,0.8935,0.8935
macro avg,0.7996489866473815,0.6172945205479452,0.6549017320530673,2000.0
weighted avg,0.8771198560668866,0.8935,0.870687537821069,2000.0
