Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,False Positive Rate,False Negative Rate
Random Forest,0.8535,0.39819004524886875,0.3548387096774194,0.3752665245202559,0.7009477647665341,0.42437502789085124,0.07591324200913242,0.6451612903225806
XGBoost,0.897,0.7916666666666666,0.22983870967741934,0.35625,0.6838705074385034,0.4185794104598798,0.008561643835616438,0.7701612903225806
