,precision,recall,f1-score,support
0,0.2208029197080292,0.4879032258064516,0.30402010050251255,248.0
1,0.912534435261708,0.7562785388127854,0.8270911360799001,1752.0
accuracy,0.723,0.723,0.723,0.723
macro avg,0.5666686774848686,0.6220908823096185,0.5655556182912064,2000.0
weighted avg,0.8267597273330518,0.723,0.7622303276683041,2000.0
