,precision,recall,f1-score,support
0,0.9322033898305084,0.2217741935483871,0.3583061889250814,248.0
1,0.9005667181865018,0.997716894977169,0.9466558353642025,1752.0
accuracy,0.9015,0.9015,0.9015,0.9015
macro avg,0.9163850540085051,0.609745544262778,0.6524810121446419,2000.0
weighted avg,0.9044896654703587,0.9015,0.8737004792057514,2000.0
