mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.130095815658569,0.2140669422545637,0.14282565116882323,0.07823068931806532,0.749816047538945,0.4753571532049581,0.08960785365368121,7,5,202,0.006071989493441302,0.15847101210439093,0.7836995567863468,"{'colsample_bytree': np.float64(0.749816047538945), 'gamma': np.float64(0.4753571532049581), 'learning_rate': np.float64(0.08960785365368121), 'max_depth': 7, 'min_child_weight': 5, 'n_estimators': 202, 'reg_alpha': np.float64(0.006071989493441302), 'reg_lambda': np.float64(0.15847101210439093), 'subsample': np.float64(0.7836995567863468)}",0.3333333333333333,0.34024896265560167,0.38461538461538464,0.29838709677419356,0.3686274509803922,0.34504244567178105,0.029863262862513198,10
7.461498498916626,1.3668769884657674,0.08589529991149902,0.006553045052085298,0.7334834444556088,0.07143340896097039,0.07027897634919636,7,2,443,0.21368329072358744,0.26587543983272705,0.6727299868828402,"{'colsample_bytree': np.float64(0.7334834444556088), 'gamma': np.float64(0.07143340896097039), 'learning_rate': np.float64(0.07027897634919636), 'max_depth': 7, 'min_child_weight': 2, 'n_estimators': 443, 'reg_alpha': np.float64(0.21368329072358744), 'reg_lambda': np.float64(0.26587543983272705), 'subsample': np.float64(0.6727299868828402)}",0.321285140562249,0.32786885245901637,0.368,0.3187250996015936,0.3709677419354839,0.3413693669116685,0.02316746556396217,18
2.2206302165985106,0.3534518366706255,0.0637627124786377,0.019482723626312468,0.6733618039413735,0.15212112147976886,0.048164145309070844,6,1,148,0.012563152773938664,0.6305535040199283,0.6186662652854461,"{'colsample_bytree': np.float64(0.6733618039413735), 'gamma': np.float64(0.15212112147976886), 'learning_rate': np.float64(0.048164145309070844), 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 148, 'reg_alpha': np.float64(0.012563152773938664), 'reg_lambda': np.float64(0.6305535040199283), 'subsample': np.float64(0.6186662652854461)}",0.3346938775510204,0.3220338983050847,0.37398373983739835,0.2833333333333333,0.3709677419354839,0.3370025181924642,0.033558957029838916,25
6.105045413970947,0.48296771437604075,0.139267635345459,0.09492879262253212,0.9895022075365837,0.11638567021515211,0.013118424770919554,8,3,463,0.011400863701127324,1.5304852121831465,0.6185801650879991,"{'colsample_bytree': np.float64(0.9895022075365837), 'gamma': np.float64(0.11638567021515211), 'learning_rate': np.float64(0.013118424770919554), 'max_depth': 8, 'min_child_weight': 3, 'n_estimators': 463, 'reg_alpha': np.float64(0.011400863701127324), 'reg_lambda': np.float64(1.5304852121831465), 'subsample': np.float64(0.6185801650879991)}",0.3292181069958848,0.3291139240506329,0.37551020408163266,0.2869198312236287,0.3724696356275304,0.3386463403958619,0.03273637134362957,21
4.734810066223145,0.40053514962639003,0.07926626205444336,0.02414029378109737,0.8430179407605753,0.08526206184364576,0.012151617026673379,6,1,415,0.01791236257104366,0.589974179671049,0.6063865008880857,"{'colsample_bytree': np.float64(0.8430179407605753), 'gamma': np.float64(0.08526206184364576), 'learning_rate': np.float64(0.012151617026673379), 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 415, 'reg_alpha': np.float64(0.01791236257104366), 'reg_lambda': np.float64(0.589974179671049), 'subsample': np.float64(0.6063865008880857)}",0.3025210084033613,0.3220338983050847,0.37551020408163266,0.2869198312236287,0.37398373983739835,0.33219373637022115,0.03648599826373989,28
3.9966330528259277,0.7138770309572547,0.08353123664855958,0.0191935724772484,0.6923575302488596,0.12051273301300586,0.0774366101159884,6,5,363,0.00013726318898045882,6.586289317583113,0.7035119926400067,"{'colsample_bytree': np.float64(0.6923575302488596), 'gamma': np.float64(0.12051273301300586), 'learning_rate': np.float64(0.0774366101159884), 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 363, 'reg_alpha': np.float64(0.00013726318898045882), 'reg_lambda': np.float64(6.586289317583113), 'subsample': np.float64(0.7035119926400067)}",0.3293172690763052,0.33884297520661155,0.3709677419354839,0.3132530120481928,0.3937007874015748,0.34921635713363364,0.02915108994501978,2
3.751801872253418,0.0814832102840696,0.08394823074340821,0.019425495478353243,0.8650089137415928,0.15585553804470548,0.04749239763680407,4,4,409,0.0001334299028518796,4.836927180682223,0.7799016533479063,"{'colsample_bytree': np.float64(0.8650089137415928), 'gamma': np.float64(0.15585553804470548), 'learning_rate': np.float64(0.04749239763680407), 'max_depth': 4, 'min_child_weight': 4, 'n_estimators': 409, 'reg_alpha': np.float64(0.0001334299028518796), 'reg_lambda': np.float64(4.836927180682223), 'subsample': np.float64(0.7799016533479063)}",0.32653061224489793,0.33613445378151263,0.37751004016064255,0.2962962962962963,0.37751004016064255,0.3427962885287984,0.031245129698915537,16
3.637602186203003,0.23526950493840537,0.08100943565368653,0.021504000824808578,0.7580600944007257,0.4633294328968971,0.08834921226320053,9,6,314,0.012115379992469585,8.362652463906244,0.9378135394712606,"{'colsample_bytree': np.float64(0.7580600944007257), 'gamma': np.float64(0.4633294328968971), 'learning_rate': np.float64(0.08834921226320053), 'max_depth': 9, 'min_child_weight': 6, 'n_estimators': 314, 'reg_alpha': np.float64(0.012115379992469585), 'reg_lambda': np.float64(8.362652463906244), 'subsample': np.float64(0.9378135394712606)}",0.3293172690763052,0.33472803347280333,0.376,0.3089430894308943,0.38095238095238093,0.3459881545864768,0.027929388085171484,6
2.2509491443634033,0.14238624896316818,0.05307011604309082,0.01877489357608274,0.8989280440549523,0.2698460661945399,0.05799370652786116,3,4,287,0.014817820606039088,0.19135880487692303,0.9208787923016158,"{'colsample_bytree': np.float64(0.8989280440549523), 'gamma': np.float64(0.2698460661945399), 'learning_rate': np.float64(0.05799370652786116), 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 287, 'reg_alpha': np.float64(0.014817820606039088), 'reg_lambda': np.float64(0.19135880487692303), 'subsample': np.float64(0.9208787923016158)}",0.31275720164609055,0.3277310924369748,0.37398373983739835,0.2857142857142857,0.3790322580645161,0.3358437155398531,0.035865507582731077,26
2.3566490650177,0.18139436936348544,0.06453175544738769,0.01949948422627012,0.6298202574719083,0.49344346830025865,0.10109125982108307,6,7,238,0.000624265905386057,2.646573170201433,0.9160702162124823,"{'colsample_bytree': np.float64(0.6298202574719083), 'gamma': np.float64(0.49344346830025865), 'learning_rate': np.float64(0.10109125982108307), 'max_depth': 6, 'min_child_weight': 7, 'n_estimators': 238, 'reg_alpha': np.float64(0.000624265905386057), 'reg_lambda': np.float64(2.646573170201433), 'subsample': np.float64(0.9160702162124823)}",0.321285140562249,0.3236514522821577,0.3790322580645161,0.3089430894308943,0.3952569169960474,0.34563377146717295,0.034641592951699475,7
