Model,CV Minority F1,Test Accuracy,Test Minority Precision,Test Minority Recall,Test Minority F1,Test ROC-AUC,Test PR-AUC
Random Forest,0.3827,0.8535,0.3982,0.3548,0.3753,0.7009,0.4244
XGBoost,0.3551,0.897,0.7917,0.2298,0.3562,0.6839,0.4186
