Model,Accuracy,Minority Precision,Minority Recall,Minority F1-Score,ROC-AUC,PR-AUC,False Positive Rate,False Negative Rate,Training Time (seconds)
Random Forest,0.8935,0.6966292134831461,0.25,0.36795252225519287,0.6979212697009869,0.08522874971515004,0.015410958904109588,0.75,1.6520893573760986
XGBoost,0.9015,0.9322033898305084,0.2217741935483871,0.3583061889250814,0.692538021063485,0.08633811167488684,0.00228310502283105,0.7782258064516129,1.3274743556976318
